Row Labels;Sum of q2_gms
34393569012;249
34416267212;-250
34456063412;549
34481920112;65
34486706012;
34487427912;17668.77
34495317112;284
34508454712;3207
34523201312;6
34526859212;18940.41
34557951612;1234.9
34565052012;
34566467512;13415.48
34572692112;1914.84
34579268412;1284
34581819502;29749.91
34603226212;
34607839712;165
34610143212;12
34622848212;1199
34638672612;941.55
34691996912;5218.14
34759873412;12778.11
34765962012;76048.84
34787888112;
34853593612;1836.52
34857076612;
34864791912;1449.5
34878189512;925
34904006212;4
34911224012;12468.54
34917131112;7346.01
34957437712;296.53
35030223012;7797.45
35134866112;1975.27
35138500512;8879917.83
35144598012;
35159292312;358.3
35188126712;113741.91
35192340012;1399
35192940512;46437.02
35220166712;5505.25
35228747315;545
35250277612;369
35291041612;7343.2
35292318412;4504.34
35299058512;1054
35349232112;5489.44
35361386212;7444
35366071812;161.59
35426238512;
35484470012;35339.32
35492906105;2295
35499716512;3942.98
35512668912;58553.79
35524964512;
35565654812;2078
35626261612;
35643608212;6874
35819108112;37
35846474112;14342.21
35860358312;15117.3
35867150612;49
35910142612;44
35911524212;59339.55
35918587512;2642.7
35930986412;4039.85
35936477912;5998
36012336212;11
36096297812;55915.9
36101625812;9225.37
36112183512;4469.5
36250014212;19915.34
36250645205;125
36317873812;79
36319311315;8577.89
36323963912;899.99
36342315512;1678
36352783812;162671.69
36374310212;75
36378677812;5024
36411667412;38136.45
36419873412;237.5
36440515712;22327.9
36457849612;178991.62
36478327612;7180.65
36516247812;86030.84
36546020912;1655
36555394012;167359.2
36604097012;3460.47
36625387312;-9429.57
36635220412;8
36636039612;59017.22
36663194612;10214.48
36674013012;185
36676240912;949.9
36676691512;
36697871612;3719.29
36708290302;32474.96
36759727312;31031.56
36760397712;23195.13
36780867412;
36803202412;22389.44
36813301812;39349.46
36814822712;360.9
36816876012;4122.2
36827149612;99586.6
36893343612;34154.09
36919787212;1227.86
36954207615;15425.7
36958878215;13013.78
36987599612;-1095.27
36992920512;8515.5
36995460112;
37052680512;430972.08
37084407612;69585.23
37142117105;176
37145238712;11
37203038812;6174.05
37214540912;7495
37217354812;
37235246612;
37254597812;499
37281187912;1999.6
37283256712;2004.4
37296853212;38877.74
37302785812;
37326620512;17341.35
37355411712;7249.91
37436611912;209
37437261712;25788.43
37454035412;18176.29
37537818612;70060.52
37555424312;858
37576637812;419
37599543812;1412.5
37636311812;315
37658277712;62464.83
37676448212;1018.03
37707239912;
37708399112;23771.5
37708945812;839.97
37709890912;2634.4
37715142912;51
37716107412;
37730903812;1599
37733856512;5763
37756335312;2269.85
37759861612;
37782651815;1
37787982712;7601.74
37793132912;
37859155612;902.33
37918663705;736
38069454312;8519.11
38073851812;
38083850212;2974
38120883512;8120.32
38132578012;4114
38144689102;1552731.75
38175688312;483.7
38210615812;8057
38216527612;33913.48
38236488912;2155
38278211012;12433.63
38307783012;12549.5
38323968702;
38376615012;675
38388609912;15714.72
38391930702;
38394764712;599.8
38424962512;334
38431674712;399.8
38450975312;20264.56
38492382412;
38538382712;22585.8
38559324612;3699.8
38593151812;
38731211015;5040.26
38885054512;142
38897625412;
38933885512;7795
39002287412;282544.39
39019158012;499.9
39036254212;27928.7
39093290412;7007
39099583712;2799
39099592512;14593.4
39124801212;879.8
39148102012;399
39183749912;53418.47
39413490112;361
39423850012;10092.15
39440505312;22
39497141602;228
39512557212;70532.84
39528067712;11983.15
39619603212;720.51
39636214112;8159.28
39670144212;819.6
39802744712;19268.36
39843060912;1299
39879610612;
39880617612;1087
39890098112;5922854.56
39890651312;130055.45
39894532212;
39933161412;
40055090812;15025.58
40178890205;149.9
40219661612;56
40251673405;33341.82
40293310412;73179.19
40295636812;
40323476202;43387.07
40469994512;
40473881212;1902
40532534612;1667968.5
40572590612;50644.95
40634333312;2488
40647896015;51683.73
40656540402;499.99
40670091705;6422.86
40712809202;19
40779906712;2499
40789485005;17594.81
40823761805;3617.07
40843182112;31
40845417112;
40860646112;1118.9
40909398112;-42517.5
40959193412;929.09
40964843502;2043.35
41144804012;11356.97
41256119012;3482.1
41264392112;16
41299017715;1348
41319663012;8595.7
41339708605;25890.27
41365149312;4017.44
41376431312;2929.69
41400997612;8495.3
41427573612;399.99
41554579612;
41596263712;76916.14
41664671102;574
41998261112;810224.55
42163258005;5255.27
42223055412;-599
42254688312;
42425274412;16798.9
42439551912;299.9
42467168112;
42474904212;675
42484350912;5596
42493317012;9374.03
42508040705;362060.08
42561365405;118296.84
42566670212;27546.96
42596504812;17045.49
42600174912;2685
42603770212;23716.04
42605378612;741265.49
42607536112;5651.55
42660182505;2696
42682244512;2204
42709218212;1
42710764112;
42714981412;1027
42749272712;325.49
42758807812;2549.7
42762197412;337538.4
42784678212;20539.87
42792063712;3445
42842604705;19224.3
42842732412;2417
42851171312;1350.03
42936673005;585.72
43119305612;449
43206501112;
43315072712;77346.72
43437756012;2089
43543501512;199.9
43559592612;359.97
43599570712;23254.92
43611452712;
43638877212;589.7
43699132712;16141.17
43834574412;8449
43895354212;7999
43897375212;3418
43985697912;-518.7
44005570312;23719.27
44005758612;41307.02
44034669612;8270.55
44088285512;4579.6
44097487612;37461.74
